####道具配置总表																																					
##游戏中所有物品,无论装备,丹药物品,均属道具,道具类别的定义均由本表提供基础数据.道具类型ID和道具子类型ID必须唯一.																																					
#																																					
#道具类型名称                     : 道具类型,如装备,丹药等等,同时这个名称将会被部分界面等地方引用. 																																					
#道具类型ID                       : 道具类型的ID编号.																																					
#道具子类型名称                   : 道具子类型名称,如重兵,飞剑等,同时这个名称将会被部分界面等地方引用.																																					
#道具子类型ID                     : 道具子类型的ID编号.																																					
#道具类目ID                       : 道具自所属类目下的编号,是用来区分同类型同子类下不同道具的ID																																					
#道具名称                         : 道具名称 																																					
#道具单位名称                     : 道具的单位名称 																																					
#道具描述                         : 道具文字描述																																					
#道具小图示资源路径               : 道具小型图示资源,如E,R键可能用到的小图示.																																					
#道具大图示资源路径               : 道具的展示图示资源.																																					
#道具属性个数                     : 这个道具将具有多少个自身的属性,这个属性值得是比如耐久度,使用限制,CD等等.																																					
#道具属性类型1                    : 属性的类型 																																					
#道具属性1                        : 属性的值																																					
#道具效果属性个数                 : 这个属性泛指所有角色所含属性,比如血,灵力之类.																																					
#道具效果属性类型1                : 属性类型																																					
#道具效果属性1                    : 属性值 																																					
#道具触发后需要执行的脚本模块数量 : 当这个道具被触发,将执行的动作 ,这个动作是																																					
#道具触发后执行的脚本模块1        : 道具被触发后执行的脚本模块ID																																					
#道具触发后执行的脚本模块数据1    : 道具被触发后执行的脚本模块数据																																					
MaxPropCount	5																																				
MaxBaseEffectCount	4																																				
MaxAddEffectCount	3																																				
MaxRunCount	1																																				
#道具类型名称	#道具类型ID	#道具子类型名称	#道具子类型ID	#道具类目ID	#道具名称	#道具单位名称	#道具描述	#道具出处描述	#道具小图示资源路径	#道具大图示资源路径	#道具资源路径	#道具属性类型1	#道具属性1	#道具属性类型2	#道具属性2	#道具属性类型3	#道具属性3	#道具属性类型4	#道具属性4	#道具属性类型5	#道具属性5	#道具效果属性类型1	#道具效果属性1	#道具效果属性类型2	#道具效果属性2	#道具效果属性类型3	#道具效果属性3	#道具效果属性类型4	#道具效果属性4	#道具附加属性类型1	#道具附加效果1	#道具附加属性类型2	#道具附加效果2	#道具附加属性类型3	#道具附加效果3	#道具触发后执行的脚本模块1	#道具触发后执行的脚本模块数据1
装备	1	重兵	1	1014101	子午锤	把	相当有分量的重锤，没有些力气还真不好操控。	前人取世间至阴冥灵锻造的邪兵，隐隐透出森然之气，见者皆不寒而栗，取敌性命更是瞬息之间。	GameLegend/Icon/Equipment/WeaponIcon_046	GameLegend/Illustration/equip_illu/equip_iliu_120	Prefabs/Player/Equip/zhongbing015	1	1212	2	606	null	null	null	null	null	null	9	5839	11	5839	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015101	乾坤锤	把	又名“乾坤化骨锤”，一锤能击碎颅骨，脑浆四溅。	亦可直称“奔雷”，并非具有雷电灵力，而是指此器的重击与疾驰都不下奔驰雷击，几乎没有破绽。	GameLegend/Icon/Equipment/WeaponIcon_047	GameLegend/Illustration/equip_illu/equip_iliu_121	Prefabs/Player/Equip/zhongbing016	1	2048	2	1024	null	null	null	null	null	null	9	11856	11	11856	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1016101	铁藜长斧	把	丈八长斧，斧刃上带有铁齿。	刃面平滑，纹理细腻，通体灵光大耀，乃是修仙界闻名遐迩的奇兵。	GameLegend/Icon/Equipment/WeaponIcon_045	GameLegend/Illustration/equip_illu/equip_iliu_119	Prefabs/Player/Equip/zhongbing017	1	2138	2	1069	null	null	null	null	null	null	9	14108	11	14108	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1011201	九棘巨斧	把	带有棘刺的长斧，稍有不慎容易伤及自身。	靛兵升阶之时，通体由青转绿，幽冥之气顿生，威慑力更是今非昔比。绿煌刃上自带邪毒，一般人很容易中招。	GameLegend/Icon/Equipment/WeaponIcon_045	GameLegend/Illustration/equip_illu/equip_iliu_119	Prefabs/Player/Equip/zhongbing017	1	2458	2	1229	null	null	null	null	null	null	9	14388	11	14388	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1012201	魔金神斧	把	带有幽魔之气的暗金长斧，比一般的长斧更为阴毒锐利。	“紫铖刃下白骨堆”，此斧受魔灵灌注而藏有非凡之威，人人垂涎却又忌惮其魔气，我既得此斧，自然要物尽其用。	GameLegend/Icon/Equipment/WeaponIcon_044	GameLegend/Illustration/equip_illu/equip_iliu_118	Prefabs/Player/Equip/zhongbing018	1	4168	2	2084	null	null	null	null	null	null	9	29346	11	29346	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1014201	龙牙镰	把	传说有龙息灌入的至宝重兵，刃上伏龙，意为有龙威庇护。	“龙牙在手，天南任走”，传说有龙息灌入的至宝重兵，刃上伏龙，意为有龙威庇护。	GameLegend/Icon/Equipment/WeaponIcon_018	GameLegend/Illustration/equip_illu/equip_iliu_28	Prefabs/Player/Equip/zhongbing006	1	5000	2	2500	null	null	null	null	null	null	9	39134	11	39134	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015201	血雾镰	把	用蛟龙精血浸润过的宝镰，刃上现赤血灵光，锋锐无比。	用蛟龙精血浸润过后的宝镰果然不同凡响，遇敌能施血色薄雾，内含蛟龙赤毒，若无防御则会全身腐烂而死。	GameLegend/Icon/Equipment/WeaponIcon_019	GameLegend/Illustration/equip_illu/equip_iliu_29	Prefabs/Player/Equip/zhongbing012	1	8510	2	4255	null	null	null	null	null	null	9	74458	11	74458	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015204	崆峒杖	把	在崆峒之地集天地灵气所炼就的至阳神兵。	靛兵升阶之时，通体由青转绿，幽冥之气顿生，威慑力更是今非昔比。绿煌刃上自带邪毒，一般人很容易中招。	GameLegend/Icon/Equipment/WeaponIcon_015	GameLegend/Illustration/equip_illu/equip_iliu_25	Prefabs/Player/Equip/zhongbing004	1	1800	2	600	null	null	null	null	null	null	9	5839	11	5839	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015205	朔月杖	把	吸收月华之息所炼就的至阴神兵。	“紫铖刃下白骨堆”，此斧受魔灵灌注而藏有非凡之威，人人垂涎却又忌惮其魔气，我既得此斧，自然要物尽其用。	GameLegend/Icon/Equipment/WeaponIcon_016	GameLegend/Illustration/equip_illu/equip_iliu_26	Prefabs/Player/Equip/zhongbing008	1	780	2	260	null	null	null	null	null	null	9	1590	11	1590	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015206	龙吟宝杖	把	龙头长杖，神威惊人，出招能撼天动地。	“龙牙在手，天南任走”，传说有龙息灌入的至宝重兵，刃上伏龙，意为有龙威庇护。	GameLegend/Icon/Equipment/WeaponIcon_017	GameLegend/Illustration/equip_illu/equip_iliu_27	Prefabs/Player/Equip/zhongbing009	1	447	2	149	null	null	null	null	null	null	9	433	11	433	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015207	青炎斧	把	出自地炉阴火的奇兵，斧身缠绕青色光焰，清冷迫人。	用蛟龙精血浸润过后的宝镰果然不同凡响，遇敌能施血色薄雾，内含蛟龙赤毒，若无防御则会全身腐烂而死。	GameLegend/Icon/Equipment/WeaponIcon_010	GameLegend/Illustration/equip_illu/equip_iliu_36	Prefabs/Player/Equip/zhongbing005	1	1650	2	550	null	null	null	null	null	null	9	1590	11	1590	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015208	竹煌斧	把	色如新竹，幽光烁烁，绝对一把绝世利斧。	用蛟龙精血浸润过后的宝镰果然不同凡响，遇敌能施血色薄雾，内含蛟龙赤毒，若无防御则会全身腐烂而死。	GameLegend/Icon/Equipment/WeaponIcon_011	GameLegend/Illustration/equip_illu/equip_iliu_37	Prefabs/Player/Equip/zhongbing010	1	3072	2	1024	null	null	null	null	null	null	9	5839	11	5839	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015209	紫铖斧	把	天南有言“紫铖刃下皆白骨”，其神通不言而喻。	用蛟龙精血浸润过后的宝镰果然不同凡响，遇敌能施血色薄雾，内含蛟龙赤毒，若无防御则会全身腐烂而死。	GameLegend/Icon/Equipment/WeaponIcon_012	GameLegend/Illustration/equip_illu/equip_iliu_38	Prefabs/Player/Equip/zhongbing011	1	3687	2	1229	null	null	null	null	null	null	9	14388	11	14388	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015210	碧光刀	把	碧光神刀刀体阔长，刃面平滑，刀上纹理细腻，通体灵光大耀，令人叹然。	用蛟龙精血浸润过后的宝镰果然不同凡响，遇敌能施血色薄雾，内含蛟龙赤毒，若无防御则会全身腐烂而死。	GameLegend/Icon/Equipment/WeaponIcon_037	GameLegend/Illustration/equip_illu/equip_iliu_46	Prefabs/Player/Equip/zhongbing021	1	12765	2	4255	null	null	null	null	null	null	9	74458	11	74458	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	重兵	1	1015211	贯日神阙	把	修仙界不可多得的异宝，刀光如血，刀风如火，乃天赐神兵也。	用蛟龙精血浸润过后的宝镰果然不同凡响，遇敌能施血色薄雾，内含蛟龙赤毒，若无防御则会全身腐烂而死。	GameLegend/Icon/Equipment/WeaponIcon_003	GameLegend/Illustration/equip_illu/equip_iliu_11	Prefabs/Player/Equip/zhongbing020	1	429	2	143	null	null	null	null	null	null	9	433	11	433	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1021001	紫幽珠	把	灵珠法宝，通体散发淡紫色幽光，触之微有凉意。	以银精入剑，坚不可摧，剑体带星光点点，恍若繁星，亦如银月流光，如梦似幻	GameLegend/Icon/Equipment/WeaponIcon_020	GameLegend/Illustration/equip_illu/equip_iliu_41	Prefabs/Player/Equip/faqi001_1	1	130	2	65	null	null	null	null	null	null	9	108	11	108	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1022001	婆罗珠	把	原是西域神宗之宝，后因战乱辗转流落到此，这才被我捡宝。	木属性飞剑，以千年天雷竹为原材料炼制而成，配合青元剑决使用，剑若群蜂，需有大灵力者才能驾驭	GameLegend/Icon/Equipment/WeaponIcon_021	GameLegend/Illustration/equip_illu/equip_iliu_41	Prefabs/Player/Equip/faqi007	1	150	2	75	null	null	null	null	null	null	9	130	11	130	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1023001	蔽日珠	把	仿古所制的火属性法宝，能吐烈焰。	此剑剑体狭长，犹如飞虹，通体暗红，如落日余晖，以灵力御之，疾不可见，只残影余空，仿若一道长虹	GameLegend/Icon/Equipment/WeaponIcon_021	GameLegend/Illustration/equip_illu/equip_iliu_42	Prefabs/Player/Equip/faqi007	1	240	2	120	null	null	null	null	null	null	9	293	11	293	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1024001	纯阳缚	把	通体裹挟元阳真气，祭出时燃起熊熊阳火，烈焰过处只留余烬。	取昆吾之灵石炼制，剑带天罡之气，可导天地灵气入剑，给人浩然一击	GameLegend/Icon/Equipment/WeaponIcon_013	GameLegend/Illustration/equip_illu/equip_iliu_52	Prefabs/Player/Equip/faqi002	1	260	2	130	null	null	null	null	null	null	9	279	11	279	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1025001	往生缚	把	道佛二门通宝，能摄人心魂，于佛光圣乐中往生极乐。	以万年灵玉为材料炼制而成，晶莹剔透，白璧无瑕。质地圆润，配以剑穗，如一柄拂尘，可御无形之剑	GameLegend/Icon/Equipment/WeaponIcon_013	GameLegend/Illustration/equip_illu/equip_iliu_52	Prefabs/Player/Equip/faqi002	1	298	2	149	null	null	null	null	null	null	9	325	11	325	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1026001	火云缚	把	通体缠绕赤金之火，祭出时奔涌滔滔火海，一切生灵皆丧于火中。	母刃一把，子刃八把，以精铁精金为原料，由筑基期高手炼制七七四十九日而成，只要手持母刃就可同时控制八把子刃攻击敌人，让对手防不胜防，锋利无比	GameLegend/Icon/Equipment/WeaponIcon_014	GameLegend/Illustration/equip_illu/equip_iliu_53	Prefabs/Player/Equip/faqi008	1	500	2	250	null	null	null	null	null	null	9	905	11	905	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1021101	宝月花篮	把	形如花篮，以飞花玉瓣迷人心魄，杀人于无形。	以银精入剑，坚不可摧，剑体带星光点点，恍若繁星，亦如银月流光，如梦似幻	GameLegend/Icon/Equipment/WeaponIcon_055	GameLegend/Illustration/equip_illu/equip_iliu_128	Prefabs/Player/Equip/faqi020	1	550	2	275	null	null	null	null	null	null	9	1121	11	1121	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1022101	挽月花篮	把	仿古所制的花篮法宝，能蓄积花灵煞气克敌。	木属性飞剑，以千年天雷竹为原材料炼制而成，配合青元剑决使用，剑若群蜂，需有大灵力者才能驾驭	GameLegend/Icon/Equipment/WeaponIcon_055	GameLegend/Illustration/equip_illu/equip_iliu_128	Prefabs/Player/Equip/faqi020	1	600	2	300	null	null	null	null	null	null	9	1193	11	1193	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1023101	锦簇花篮	把	华丽无双的金色花篮，发力由心，操控自如。	此剑剑体狭长，犹如飞虹，通体暗红，如落日余晖，以灵力御之，疾不可见，只残影余空，仿若一道长虹	GameLegend/Icon/Equipment/WeaponIcon_054	GameLegend/Illustration/equip_illu/equip_iliu_129	Prefabs/Player/Equip/faqi021	1	1010	2	505	null	null	null	null	null	null	9	2999	11	2999	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1024101	凌坤宝塔	把	佛修法宝，能发出惑人心智的咒诀灵音，凡界生灵皆不可抗。	取昆吾之灵石炼制，剑带天罡之气，可导天地灵气入剑，给人浩然一击	GameLegend/Icon/Equipment/WeaponIcon_041	GameLegend/Illustration/equip_illu/equip_iliu_57	Prefabs/Player/Equip/faqi0011	1	1100	2	550	null	null	null	null	null	null	9	4213	11	4213	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1025101	无量天宫	把	宝铎泛出阵阵难以察觉的幽香，能牵引塔中的珈蓝护法真诀，幽冥之火大起。	以万年灵玉为材料炼制而成，晶莹剔透，白璧无瑕。质地圆润，配以剑穗，如一柄拂尘，可御无形之剑	GameLegend/Icon/Equipment/WeaponIcon_042	GameLegend/Illustration/equip_illu/equip_iliu_58	Prefabs/Player/Equip/faqi0011	1	1212	2	606	null	null	null	null	null	null	9	4379	11	4379	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1026101	珈蓝宝铎	把	佛修秘宝，能在无声息之间突发奇威，一举断敌后路。	母刃一把，子刃八把，以精铁精金为原料，由筑基期高手炼制七七四十九日而成，只要手持母刃就可同时控制八把子刃攻击敌人，让对手防不胜防，锋利无比	GameLegend/Icon/Equipment/WeaponIcon_043	GameLegend/Illustration/equip_illu/equip_iliu_59	Prefabs/Player/Equip/faqi012	1	2048	2	1024	null	null	null	null	null	null	9	8892	11	8892	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1021201	鬼颅	把	乃上古修仙大士的一点杀念促发而成，煞气凌厉。	以银精入剑，坚不可摧，剑体带星光点点，恍若繁星，亦如银月流光，如梦似幻	GameLegend/Icon/Equipment/WeaponIcon_030	GameLegend/Illustration/equip_illu/equip_iliu_43	Prefabs/Player/Equip/faqi005	1	2138	2	1069	null	null	null	null	null	null	9	10581	11	10581	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1022201	邪尊	把	仿制魔物的法器，需要血灵驱动，十分阴毒。	木属性飞剑，以千年天雷竹为原材料炼制而成，配合青元剑决使用，剑若群蜂，需有大灵力者才能驾驭	GameLegend/Icon/Equipment/WeaponIcon_031	GameLegend/Illustration/equip_illu/equip_iliu_44	Prefabs/Player/Equip/faqi013	1	2458	2	1229	null	null	null	null	null	null	9	10791	11	10791	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1023201	狱魔	把	燃烧着炼狱之火的颅骨法器，所到之处，生灵遍哀。	此剑剑体狭长，犹如飞虹，通体暗红，如落日余晖，以灵力御之，疾不可见，只残影余空，仿若一道长虹	GameLegend/Icon/Equipment/WeaponIcon_032	GameLegend/Illustration/equip_illu/equip_iliu_45	Prefabs/Player/Equip/faqi014	1	4168	2	2084	null	null	null	null	null	null	9	22010	11	22010	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1024201	碧妖鼎	把	妖异的碧色小鼎，鼎腹刻有奇怪的图腾，鼎壁浑厚，坚不可摧。	取昆吾之灵石炼制，剑带天罡之气，可导天地灵气入剑，给人浩然一击	GameLegend/Icon/Equipment/WeaponIcon_033	GameLegend/Illustration/equip_illu/equip_iliu_23	Prefabs/Player/Equip/faqi006	1	5000	2	2500	null	null	null	null	null	null	9	29351	11	29351	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1026201	乾蓝鼎	把	呈幽蓝之色，辅以甘蓝冰焰炼化，能吸灵收魂。	以万年灵玉为材料炼制而成，晶莹剔透，白璧无瑕。质地圆润，配以剑穗，如一柄拂尘，可御无形之剑	GameLegend/Icon/Equipment/WeaponIcon_034	GameLegend/Illustration/equip_illu/equip_iliu_24	Prefabs/Player/Equip/faqi015	1	8510	2	4255	null	null	null	null	null	null	9	55843	11	55843	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1026202	化龙玺	把	黄色印玺，印上雕有栩栩如生的怒目龙头，随心而控。	以万年灵玉为材料炼制而成，晶莹剔透，白璧无瑕。质地圆润，配以剑穗，如一柄拂尘，可御无形之剑	GameLegend/Icon/Equipment/WeaponIcon_022	GameLegend/Illustration/equip_illu/equip_iliu_13	Prefabs/Player/Equip/faqi003	1	437	2	149	null	null	null	null	null	null	9	325	11	325	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1026203	绿煌剑	把	绿色飞剑，能配合不同的剑诀产生万千变化。	以万年灵玉为材料炼制而成，晶莹剔透，白璧无瑕。质地圆润，配以剑穗，如一柄拂尘，可御无形之剑	GameLegend/Icon/Equipment/WeaponIcon_053	GameLegend/Illustration/equip_illu/equip_iliu_127	Prefabs/Player/Equip/faqi018	1	12765	2	4255	null	null	null	null	null	null	9	55843	11	55843	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	法器	2	1026204	金雷剑	把	雷属性金色飞剑，可操控雷灵克敌。	以万年灵玉为材料炼制而成，晶莹剔透，白璧无瑕。质地圆润，配以剑穗，如一柄拂尘，可御无形之剑	GameLegend/Icon/Equipment/WeaponIcon_052	GameLegend/Illustration/equip_illu/equip_iliu_126	Prefabs/Player/Equip/faqi019	1	3687	2	1229	null	null	null	null	null	null	9	10791	11	10791	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	双刃	3	1031000	两仪剑	对	一对甚为灵巧的短剑，剑阁处的太极图象征着两仪正气、道法循环。	三寸短剑，剑刃上嵌有七颗星状的暗器，将灵力灌注于剑，可使七颗星状暗器飞脱疾出，于不意之间取人性命	GameLegend/Icon/Equipment/WeaponIcon_064	GameLegend/Illustration/equip_illu/equip_iliu_137	Prefabs/Player/Equip/bishou001	1	110	2	55	null	null	null	null	null	null	9	108	11	108	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	双刃	3	1031001	青魂剑	对	轻若无物的一双短剑，青光闪过，剑踪不留。	三寸短剑，剑刃上嵌有七颗星状的暗器，将灵力灌注于剑，可使七颗星状暗器飞脱疾出，于不意之间取人性命	GameLegend/Icon/Equipment/WeaponIcon_064	GameLegend/Illustration/equip_illu/equip_iliu_137	Prefabs/Player/Equip/bishou001	1	130	2	65	null	null	null	null	null	null	9	130	11	130	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	双刃	3	1032001	诛邪刺	对	黄枫谷有名的利器，据说是仿古宝所制，在低阶弟子中颇为抢手。	以不传秘法锻制玄铁精金，去芜存菁，取精华为金匕。匕首光洁，杀人沾血，挥之即去，如人落泪，名为泣血。	GameLegend/Icon/Equipment/WeaponIcon_063	GameLegend/Illustration/equip_illu/equip_iliu_137	Prefabs/Player/Equip/bishou0021	1	150	2	75	null	null	null	null	null	null	9	156	11	156	null	null	null	null	null	null	null	null	null	null	null	null
装备	1	双刃	3	1033001	金魁剑	对	不错的木属性双剑，与我体质正好相合，驱使起来得心应手。	上古神器,五方天帝共同所制,置于东海,从此江海无妖魔.后神秘失踪.	GameLegend/Icon/Equipment/WeaponIcon_063	GameLegend/Illustration/equip_illu/equip_iliu_138	Prefabs/Player/Equip/bishou0021	1	240	2	120	null	null	null	null	null	null	9	351	11	351	null	null	null	null	null	null	null	null	null	null	null	null
