#ID	#Prefab名	#头像路径	#名字	#阵营	#点击脚本类型	#脚本数据ID	#AI类型ID	#视野范围	#观望距离	#移动速度
2104013	5994	GameLegend/HeadPic/Matao	罐子3	2	-1	-1	-1	0	0	1.5
2104014	5994	GameLegend/HeadPic/Matao	罐子4	2	-1	-1	-1	0	0	1.5
2104015	5994	GameLegend/HeadPic/Matao	罐子5	2	-1	-1	-1	0	0	1.5
2104016	5994	GameLegend/HeadPic/Matao	罐子6	2	-1	-1	-1	0	0	1.5
2105001	2919	GameLegend/HeadPic/Matao	阵中仙	2	35	2105001	-1	0	0	1.5
2105011	2012	GameLegend/HeadPic/Matao	水晶一毒	2	37	9013	-1	0	0	1.5
2105012	2013	GameLegend/HeadPic/Matao	水晶二火	2	37	9007	-1	0	0	1.5
2105013	2014	GameLegend/HeadPic/Matao	水晶三冰	2	37	90131	-1	0	0	1.5
2105014	2015	GameLegend/HeadPic/Matao	水晶四水	2	37	9011	-1	0	0	1.5
2105015	2016	GameLegend/HeadPic/Matao	水晶五磁	2	37	9010	-1	0	0	1.5
2105016	2017	GameLegend/HeadPic/Matao	水晶六风	2	37	9012	-1	0	0	1.5
2105017	2018	GameLegend/HeadPic/Matao	水晶七	2	37	9008	-1	0	0	1.5
2108001	2704	GameLegend/HeadPic/Another	红拂	2	-1	-1	-1	0	0	1.5
2108002	2701	GameLegend/HeadPic/Another	许老	2	28	10101	-1	0	0	1.5
2108003	2021	GameLegend/HeadPic/Another	董萱儿	2	-1	-1	-1	0	0	1.5
2108004	2999	GameLegend/HeadPic/Another	筑基丹药方	2	35	2108004	-1	0	0	1.5
2108005	2728	GameLegend/HeadPic/Another	武器商人	2	28	10102	-1	0	0	1.5
2108006	2729	GameLegend/HeadPic/Another	小仙童材料炼器	2	28	10103	-1	0	0	1.5
2108007	2721	GameLegend/HeadPic/Another	小仙童材料炼丹	2	28	10104	-1	0	0	1.5
2108008	2702	GameLegend/HeadPic/Another	符箓商	2	28	10105	-1	0	0	1.5
2108009	2713	GameLegend/HeadPic/Another	符箓材料	2	28	10106	-1	0	0	1.5
2201001	2019	GameLegend/HeadPic/Another	李化元	2	-1	-1	-1	0	0	1.5
2201002	2201	GameLegend/HeadPic/Another	红绫	2	-1	-1	40	400	400	1.5
2201003	2708	GameLegend/HeadPic/Another	浮云子	2	1	220100301	-1	0	0	1.5
2201004	2724	GameLegend/HeadPic/Another	霓裳	2	1	220100401	-1	0	0	1.5
2202001	2022	GameLegend/HeadPic/Another	胡烈火	2	1	2202001	-1	0	0	1.5
2202002	2023	GameLegend/HeadPic/Another	林月薇	2	1	2202002	-1	0	0	1.5
2202003	2024	GameLegend/HeadPic/Another	封岳	2	1	2202003	-1	0	0	1.5
2203001	2003	GameLegend/HeadPic/Chenqiaoqian	陈巧倩	2	-1	-1	-1	0	0	1.5
2203002	2028	GameLegend/HeadPic/Another	陈岚	2	-1	-1	-1	0	0	1.5
2203011	2909	GameLegend/HeadPic/Chenqiaoqian	躺下的陈巧倩	2	-1	-1	-1	0	0	1.5
2203012	2908	GameLegend/HeadPic/Chenqiaoqian	抚胸的陈巧倩	2	-1	-1	-1	0	0	1.5
2204001	2004	GameLegend/HeadPic/Nangongwan	南宫婉	2	-1	-1	11	80	80	1.5
2205001	2025	GameLegend/HeadPic/Another	灵兽山弟子	2	1	2205001	42	80	80	1.5
2205002	2025	GameLegend/HeadPic/Another	灵兽山弟子	2	1	2205002	-1	0	0	1.5
2205003	2025	GameLegend/HeadPic/Another	灵兽山弟子	2	1	2205003	-1	0	0	1.5
2205004	2030	GameLegend/HeadPic/Another	灵兽山弟子	2	1	220500401	42	80	80	1.5
2205005	2030	GameLegend/HeadPic/Another	灵兽山弟子	2	1	220500401	-1	0	0	1.5
2205011	2026	GameLegend/HeadPic/Another	天阙堡弟子	2	1	2205011	42	80	80	1.5
2205012	2029	GameLegend/HeadPic/Another	天阙堡弟子	2	1	2205012	-1	0	0	1.5
2205013	2026	GameLegend/HeadPic/Another	天阙堡弟子	2	1	2205013	42	80	80	1.5
2205014	2026	GameLegend/HeadPic/Another	天阙堡弟子	2	1	2205013	-1	0	0	1.5
2205015	2029	GameLegend/HeadPic/Another	天阙堡弟子	2	1	220501501	-1	0	0	1.5
2205021	2027	GameLegend/HeadPic/Another	掩月宗弟子	2	1	2205021	42	80	80	1.5
2205022	2027	GameLegend/HeadPic/Another	掩月宗弟子	2	1	2205022	-1	0	0	1.5
2205023	2027	GameLegend/HeadPic/Another	掩月宗弟子	2	1	2205023	-1	0	0	1.5
2205024	2027	GameLegend/HeadPic/Another	掩月宗弟子	2	1	220503201	-1	0	0	1.5
2205031	2031	GameLegend/HeadPic/Another	巨剑门弟子	2	1	220503101	-1	0	0	1.5
2205032	2031	GameLegend/HeadPic/Another	巨剑门弟子	2	1	220503201	-1	0	0	1.5
2205033	2031	GameLegend/HeadPic/Another	巨剑门弟子	2	1	220503101	-1	0	0	1.5
2205041	2005	GameLegend/HeadPic/Another	明心	2	1	220199901	-1	0	0	1.5
2205042	2005	GameLegend/HeadPic/Another	道虚	2	1	220199901	-1	0	0	1.5
2205043	2020	GameLegend/HeadPic/Another	白君	2	1	220199901	-1	0	0	1.5
2205044	2021	GameLegend/HeadPic/Another	陈岚	2	1	220504401	-1	0	0	1.5
2205051	2717	GameLegend/HeadPic/Another	清虚门弟子1	2	1	220505101	-1	0	0	1.5
2205052	2717	GameLegend/HeadPic/Another	清虚门弟子2	2	1	220505201	-1	0	0	1.5
2205053	2717	GameLegend/HeadPic/Another	清虚门弟子3	2	1	220505201	-1	0	0	1.5
2205054	2717	GameLegend/HeadPic/Another	守卫弟子	2	1	220505401	-1	0	0	1.5
2205055	2717	GameLegend/HeadPic/Another	守卫弟子	2	1	220505401	-1	0	0	1.5
2301001	2303	GameLegend/HeadPic/Another	齐云霄	2	-1	-1	40	80	80	1.5
2301002	2301	GameLegend/HeadPic/Another	草药袋	2	-1	-1	-1	0	0	1.5
2301003	2304	GameLegend/HeadPic/Another	王禅	2	-1	-1	-1	0	0	1.5
2301004	2305	GameLegend/HeadPic/Another	黄龙	2	-1	-1	-1	0	0	1.5
2401001	3000	GameLegend/HeadPic/Another	假韩立	2	-1	-1	-1	0	0	1.5
2401002	2302	GameLegend/HeadPic/Another	天灵果	2	-1	-1	-1	0	0	1.5
2401003	2003	GameLegend/HeadPic/Chenqiaoqian	陈巧倩	2	-1	-1	-1	0	0	1.5
2401004	2401	GameLegend/HeadPic/Another	墨大夫	2	-1	-1	-1	0	0	1.5
2401005	2405	GameLegend/HeadPic/Another	心魔魔修	2	-1	-1	-1	0	0	1.5
2401006	5151	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2401007	5151	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2401008	5151	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2401009	2404	GameLegend/HeadPic/Another	心魔黄龙	2	-1	-1	-1	0	0	1.5
2401101	2402	GameLegend/HeadPic/Another	胡烈火	2	-1	-1	-1	0	0	1.5
2401102	2403	GameLegend/HeadPic/Another	封岳	2	-1	-1	-1	0	0	1.5
2401103	5151	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2401104	5151	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2401105	5151	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2401201	2412	GameLegend/HeadPic/Another	完好的杂物	2	-1	-1	-1	0	0	1.5
2401202	2413	GameLegend/HeadPic/Another	破碎的杂物	2	-1	-1	-1	0	0	1.5
2401203	2414	GameLegend/HeadPic/Another	破碎的衣物	2	-1	-1	-1	0	0	1.5
2401301	2406	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2401302	2407	GameLegend/HeadPic/Another	心魔怪物	2	-1	-1	-1	0	0	1.5
2403001	2411	GameLegend/HeadPic/Another	死亡状态红绫	2	-1	-1	-1	0	0	1.5
2404001	2997	GameLegend/HeadPic/Another	心魔韩立boss	2	-1	-1	-1	0	0	1.5
2501001	2501	GameLegend/HeadPic/Another	越皇	2	-1	-1	-1	0	0	1.5
2501002	2502	GameLegend/HeadPic/Another	邪修1	2	-1	-1	-1	0	0	1.5
2501003	2503	GameLegend/HeadPic/Another	邪修2	2	-1	-1	-1	0	0	1.5
2501004	2504	GameLegend/HeadPic/Another	邪修3	2	-1	-1	-1	0	0	1.5
2501005	2505	GameLegend/HeadPic/Another	真·越皇	2	-1	-1	-1	0	0	1.5
2501006	2910	GameLegend/HeadPic/Another	地板NPC	2	-1	-1	-1	0	0	1.5
2601001	2601	GameLegend/HeadPic/Another	大挪移阵	2	-1	-1	-1	0	0	1.5
2701001	2998	GameLegend/HeadPic/Another	技能学习1	2	-1	-1	-1	0	0	1.5
2701002	2998	GameLegend/HeadPic/Another	技能学习2	2	35	2007002	-1	0	0	1.5
2701003	2998	GameLegend/HeadPic/Another	技能学习3	2	-1	-1	-1	0	0	1.5
2701004	2998	GameLegend/HeadPic/Another	技能学习4	2	-1	-1	-1	0	0	1.5
2701005	2998	GameLegend/HeadPic/Another	技能学习5	2	35	2007005	-1	0	0	1.5
2701006	2998	GameLegend/HeadPic/Another	技能学习6	2	35	2007006	-1	0	0	1.5
2701007	2998	GameLegend/HeadPic/Another	技能学习7	2	35	2007007	-1	0	0	1.5
2701008	2998	GameLegend/HeadPic/Another	技能学习8	2	35	2007008	-1	0	0	1.5
2701009	2998	GameLegend/HeadPic/Another	技能学习9	2	35	2007009	-1	0	0	1.5
2701010	2998	GameLegend/HeadPic/Another	技能学习10	2	35	2007010	-1	0	0	1.5
2701011	2998	GameLegend/HeadPic/Another	技能学习11	2	35	2007011	-1	0	0	1.5
2701012	2998	GameLegend/HeadPic/Another	技能学习12	2	35	2007012	-1	0	0	1.5
2701013	2998	GameLegend/HeadPic/Another	技能学习13	2	35	2007013	-1	0	0	1.5
2701014	2998	GameLegend/HeadPic/Another	技能学习14	2	35	2007014	-1	0	0	1.5
2701015	2998	GameLegend/HeadPic/Another	技能学习15	2	35	2007015	-1	0	0	1.5
2701016	2998	GameLegend/HeadPic/Another	技能学习16	2	35	2007016	-1	0	0	1.5
2702001	2998	GameLegend/HeadPic/Another	解锁炼器	2	35	2007999	-1	0	0	1.5
2101101	2913	GameLegend/HeadPic/Another	慕容离	2	1	210110101	-1	0	0	1.5
2101102	2913	GameLegend/HeadPic/Another	张锡杰	2	1	210110201	-1	0	0	1.5
2101103	2005	GameLegend/HeadPic/Another	明心	2	35	2101106	-1	0	0	1.5
2101104	2005	GameLegend/HeadPic/Another	道虚	2	35	2101106	-1	0	0	1.5
2101105	2911	GameLegend/HeadPic/Another	明炼	2	35	2101105	-1	0	0	1.5
2101106	2706	GameLegend/HeadPic/Another	明月	2	35	2101106	-1	0	0	1.5
2101107	2005	GameLegend/HeadPic/Another	清风	2	35	2101106	-1	0	0	1.5
2101108	2911	GameLegend/HeadPic/Another	越离	2	35	2101108	-1	0	0	1.5
2101109	2911	GameLegend/HeadPic/Another	张亮	2	1	210110901	-1	0	0	1.5
2101110	2005	GameLegend/HeadPic/Another	袁天耀	2	1	210111001	-1	0	0	1.5
2101111	2706	GameLegend/HeadPic/Another	罗闵	2	1	210111101	-1	0	0	1.5
2101112	2706	GameLegend/HeadPic/Another	徐大牛	2	-1	-1	-1	0	0	1
2101113	2911	GameLegend/HeadPic/Another	徐二牛	2	-1	-1	-1	0	0	1
2101114	2706	GameLegend/HeadPic/Another	徐三柱	2	-1	-1	-1	0	0	1
2101115	2911	GameLegend/HeadPic/Another	许拙言	2	1	210111601	-1	0	0	1.5
2101116	2706	GameLegend/HeadPic/Another	苏远志	2	1	210111601	-1	0	0	1.5
2101117	2706	GameLegend/HeadPic/Another	王怀威	2	1	210111701	-1	0	0	1.5
2101118	2005	GameLegend/HeadPic/Another	王怀恩	2	1	210111701	-1	0	0	1.5
2101119	2913	GameLegend/HeadPic/Another	苏慕瑜	2	35	2101119	-1	0	0	1.5
2101120	2911	GameLegend/HeadPic/Another	元真	2	-1	-1	-1	0	0	1.5
2101121	2706	GameLegend/HeadPic/Another	齐如非	2	1	210110101	-1	0	0	1.5
2101122	2005	GameLegend/HeadPic/Another	刘明	2	1	210112201	-1	80	80	1.5
2101123	2913	GameLegend/HeadPic/Another	蔡明律	2	1	210118201	-1	0	0	1.5
2101124	2911	GameLegend/HeadPic/Another	宫素平	2	1	210112401	40	80	80	1.5
2101125	2911	GameLegend/HeadPic/Another	祝其英	2	1	210112501	40	80	80	1.5
2101126	2706	GameLegend/HeadPic/Another	李修	2	1	210112601	-1	0	0	1.5
2101127	2005	GameLegend/HeadPic/Another	龚不亭	2	35	2101127	-1	0	0	1.5
2101128	2706	GameLegend/HeadPic/Another	柳不羽	2	35	2101127	-1	0	0	1.5
2101129	2917	GameLegend/HeadPic/Another	何不休	2	1	210112901	-1	0	0	1.5
2101130	2005	GameLegend/HeadPic/Another	夏不正	2	-1	-1	-1	0	0	1
2101131	2913	GameLegend/HeadPic/Another	陆不笙	2	-1	-1	40	80	80	1
2101132	2706	GameLegend/HeadPic/Another	苏不怠	2	-1	-1	-1	0	0	1.5
2101133	2911	GameLegend/HeadPic/Another	廖不失	2	1	210113301	-1	0	0	1
2101134	2913	GameLegend/HeadPic/Another	许飞虎	2	-1	-1	-1	0	0	1.5
2101135	2913	GameLegend/HeadPic/Another	汤十三	2	-1	-1	-1	0	0	1.5
2101136	2911	GameLegend/HeadPic/Another	肖子璋	2	1	210113601	-1	0	0	1.5
2101137	2005	GameLegend/HeadPic/Another	王铁山	2	1	210113701	-1	80	80	1.5
2101138	2005	GameLegend/HeadPic/Another	欧阳行	2	35	2101138	-1	80	80	1.5
2101139	2706	GameLegend/HeadPic/Another	严铁律	2	35	2101139	-1	80	80	1.5
2101140	2706	GameLegend/HeadPic/Another	郄客瑙	2	35	2101140	-1	80	80	1.5
2101141	2005	GameLegend/HeadPic/Another	程思璧	2	1	210114101	-1	80	80	1.5
2101142	2911	GameLegend/HeadPic/Another	刘绫周	2	1	210114201	-1	80	80	1.5
2101143	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101144	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101145	2911	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101146	2911	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101147	2911	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101148	2911	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101149	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101150	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101151	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101152	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101153	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101154	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101155	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	42	80	80	1.5
2101156	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	40	80	80	1.5
2101157	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	40	80	80	1.5
2101158	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	40	80	80	1.5
2101159	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	40	80	80	1.5
2101160	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	40	80	80	1.5
2101161	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	40	80	80	1.5
2101162	2911	GameLegend/HeadPic/Another	巡逻弟子1	2	-1	-1	82	80	80	1
2101163	2911	GameLegend/HeadPic/Another	巡逻弟子2	2	-1	-1	83	80	80	1
2101164	2911	GameLegend/HeadPic/Another	巡逻弟子3	2	-1	-1	84	80	80	1
2101165	2911	GameLegend/HeadPic/Another	巡逻弟子4	2	-1	-1	85	80	80	1
2101166	2911	GameLegend/HeadPic/Another	巡逻弟子5	2	-1	-1	86	80	80	1
2101167	2911	GameLegend/HeadPic/Another	巡逻弟子6	2	-1	-1	87	80	80	1
2101168	2706	GameLegend/HeadPic/Another	巡逻弟子7	2	-1	-1	88	0	0	1
2101169	2915	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	0	0	1.5
2101170	2915	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	0	0	1.5
2101171	2915	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	0	0	1.5
2101172	2915	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	0	0	1.5
2101173	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	0	0	1.5
2101174	2005	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	0	0	1.5
2101175	2020	GameLegend/HeadPic/Another	黄枫谷男弟子	2	-1	-1	-1	0	0	1.5
2101176	2020	GameLegend/HeadPic/Another	涂无眉	2	-1	-1	-1	0	0	1.5
2101177	2021	GameLegend/HeadPic/Another	程紫轩	2	1	210117701	-1	0	0	1.5
2101178	2021	GameLegend/HeadPic/Another	王秋涵	2	-1	-1	-1	0	0	1.5
2101179	2020	GameLegend/HeadPic/Another	罗素	2	1	210117901	-1	0	0	1.5
2101180	2020	GameLegend/HeadPic/Another	白君	2	1	210117701	-1	0	0	1.5
2101181	2912	GameLegend/HeadPic/Another	何圆	2	-1	-1	-1	0	0	1
2101182	2021	GameLegend/HeadPic/Another	庄仙瑶	2	1	210118201	-1	0	0	1.5
2101183	2707	GameLegend/HeadPic/Another	黄枫谷女弟子	2	-1	-1	40	80	80	1.5
2101184	2707	GameLegend/HeadPic/Another	云瑶	2	1	210118401	40	80	80	1.5
2101185	2707	GameLegend/HeadPic/Another	云曦	2	1	210118401	40	80	80	1.5
2101186	2707	GameLegend/HeadPic/Another	云绯	2	1	210118401	40	80	80	1.5
2101187	2707	GameLegend/HeadPic/Another	云素	2	1	210118401	-1	0	0	1.5
2101188	2706	GameLegend/HeadPic/Another	乔威	2	35	2101188	-1	0	0	1.5
2101189	2005	GameLegend/HeadPic/Another	贺景阳	2	35	2101188	-1	0	0	1.5
2101190	2707	GameLegend/HeadPic/Another	黄枫谷女弟子	2	-1	-1	-1	0	0	1.5
2101191	2020	GameLegend/HeadPic/Another	巡逻弟子1	2	-1	-1	54	80	80	1.5
2101192	2020	GameLegend/HeadPic/Another	巡逻弟子2	2	-1	-1	-1	0	0	1.5
2101193	2020	GameLegend/HeadPic/Another	黄枫谷女弟子	2	-1	-1	-1	0	0	1.5
2101194	2020	GameLegend/HeadPic/Another	黄枫谷女弟子	2	-1	-1	-1	0	0	1.5
2101401	2706	GameLegend/HeadPic/Another	道静	2	1	210812801	42	80	80	1.5
2101402	2912	GameLegend/HeadPic/Another	田小茉	2	35	2101402	42	80	80	1.5
2101403	2021	GameLegend/HeadPic/Another	黄玲	2	1	210140301	42	80	80	1.5
2101404	2005	GameLegend/HeadPic/Another	马客	2	1	210140401	42	80	80	1.5
2101405	2707	GameLegend/HeadPic/Another	琉璃	2	1	210812801	-1	80	80	1.5
2101406	2021	GameLegend/HeadPic/Another	聂盈	2	1	210140701	-1	80	80	1.5
2101407	2706	GameLegend/HeadPic/Another	慕容白	2	1	210140701	-1	80	80	1.5
2101408	2005	GameLegend/HeadPic/Another	慕容小白	2	1	210140701	-1	80	80	1.5
2101409	2715	GameLegend/HeadPic/Another	余兴	2	1	210140901	-1	80	80	1.5
2101410	2005	GameLegend/HeadPic/Another	丰沧行	2	1	210141001	-1	80	80	1.5
2101411	2718	GameLegend/HeadPic/Another	清虚门使者	2	1	210112501	-1	80	80	1.5
2101412	2717	GameLegend/HeadPic/Another	清虚门随从	2	1	210112501	-1	80	80	1.5
2101413	2717	GameLegend/HeadPic/Another	清虚门随从	2	1	210112501	-1	80	80	1.5
2101414	2911	GameLegend/HeadPic/Another	道元	2	1	210113801	-1	80	80	1.5
2101415	2911	GameLegend/HeadPic/Another	刘海	2	35	2101415	-1	80	80	1.5
2101416	2005	GameLegend/HeadPic/Another	叶孤辰	2	1	210141601	-1	80	80	1.5
2101417	2005	GameLegend/HeadPic/Another	崔门西	2	1	210141601	-1	80	80	1.5
2101418	2707	GameLegend/HeadPic/Another	张紫月	2	1	210140901	-1	80	80	1.5
2101419	2913	GameLegend/HeadPic/Another	易炽火	2	1	210141901	56	80	80	1.5
2101420	2715	GameLegend/HeadPic/Another	沈霸天	2	1	210142401	-1	80	80	1.5
2101421	2913	GameLegend/HeadPic/Another	谢凌云	2	1	210142101	-1	80	80	1.5
2101422	2913	GameLegend/HeadPic/Another	薛炜	2	1	210142201	-1	80	80	1.5
2101423	2713	GameLegend/HeadPic/Another	傀儡虎	2	-1	-1	-1	80	80	1.5
2101424	2913	GameLegend/HeadPic/Another	道茗	2	1	210142401	-1	80	80	1.5
2101425	2715	GameLegend/HeadPic/Another	灵兽山访客	2	1	210142501	-1	80	80	1.5
2101426	2011	GameLegend/HeadPic/Another	向之礼	2	1	210142601	-1	80	80	1.5
2101427	2020	GameLegend/HeadPic/Another	刘芳	2	1	210142701	58	80	80	1.5
2101428	2020	GameLegend/HeadPic/Another	陈岚	2	1	210142801	59	80	80	1.5
2101429	2718	GameLegend/HeadPic/Another	清虚门观景弟子	2	1	210142901	-1	80	80	1.5
2101430	2730	GameLegend/HeadPic/Another	小算盘	2	1	210143001	-1	80	80	1.5
2107101	2005	GameLegend/HeadPic/Another	明禄	2	1	210710101	-1	0	0	1.5
2107102	2005	GameLegend/HeadPic/Another	唐蛟天	2	-1	-1	-1	0	0	1.5
2107103	2917	GameLegend/HeadPic/Another	包凌	2	1	210710301	40	80	80	1.5
2107104	2913	GameLegend/HeadPic/Another	李元常	2	-1	-1	-1	0	0	1.5
2107105	2005	GameLegend/HeadPic/Another	施不白	2	-1	-1	-1	0	0	1.5
2107106	2917	GameLegend/HeadPic/Another	杜子龙	2	-1	-1	-1	0	0	1.5
2107107	2005	GameLegend/HeadPic/Another	江别机	2	-1	-1	-1	0	0	1.5
2107108	2005	GameLegend/HeadPic/Another	胡尚	2	1	210710801	-1	0	0	1.5
2107109	2005	GameLegend/HeadPic/Another	贾子	2	-1	-1	-1	0	0	1.5
2107110	2005	GameLegend/HeadPic/Another	骆孤声	2	1	210711001	-1	0	0	1.5
2107111	2914	GameLegend/HeadPic/Another	练功弟子	2	-1	-1	45	80	80	1.5
2107112	2914	GameLegend/HeadPic/Another	练功弟子	2	-1	-1	45	80	80	1.5
2107113	2914	GameLegend/HeadPic/Another	练功弟子	2	-1	-1	45	80	80	1.5
2107114	2914	GameLegend/HeadPic/Another	练功弟子	2	-1	-1	45	80	80	1.5
2107115	2914	GameLegend/HeadPic/Another	练功弟子	2	-1	-1	45	80	80	1.5
2107116	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2107117	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2107118	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2107119	2005	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	42	80	80	1.5
2107120	2915	GameLegend/HeadPic/Another	看守弟子	2	-1	-1	40	80	80	1.5
2107121	2916	GameLegend/HeadPic/Another	黄雪祺	2	1	210710301	40	80	80	1.5
2107122	2021	GameLegend/HeadPic/Another	穆虹	2	1	210712201	-1	0	0	1.5
2107123	2020	GameLegend/HeadPic/Another	穆玥	2	1	210712201	-1	0	0	1.5
