#游戏场景数据配置															
#场景ID	#场景名称	#地图名称	#大地图路径	#大地图背景路径	#场景背景音乐	#主角出生点X坐标	#出生点Y坐标	#出生点Z坐标	#主角出生点Y轴朝向	#主角复活点X坐标	#复活点Y坐标	#复活点Z坐标	#主角复活点Y轴朝向	#多脚本调用	#场景中是否可以手动存档
111	map2012	太岳山脉	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	0	69.72032	230.2377	45.04417	100.3126	69.72032	230.2377	45.04417	100.3126	110600	0
113	map0043	黄枫谷禁地外围	EZGUI/Map/huangfenggu_Small	EZGUI/Map/huangfenggu	4236	231.6839	110.3227	237.3128	270	156.055	108.22	241.3755	0	110100	1
201	map1001	血禁试炼入口	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4211	86.00461	17.05013	117.6656	0	86.00461	17.05013	117.6656	0	120100	0
202	map0007	血禁试炼外层	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4213	286.5	80.53	45	-90	286.5	80.53	45	-90	120200	0
203	map0008	血禁试炼内层	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4213	272.5013	41.07992	94.53722	120	272.5013	41.07992	94.53722	120	120300	0
204	map0009	血禁试炼中心	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4213	381.9447	29.85771	324.6582	-90	377.1348	29.81777	324.6032	-90	120400	0
304	map0016	溪州郊外	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4210	86.53252	100.4819	189.7866	58.27444	86.53252	100.4819	189.7866	58.27444	130400	0
305	map0017	颠倒五行阵	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4217	2.216186	0	-1.3617	90	2.216186	0	-1.3617	90	130500	0
306	map0018	颠倒五行阵	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4217	-10.8422	23.12699	48.88592	90	-10.8422	23.12699	48.88592	90	130600	0
307	map0019	五行阵眼	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4217	0	0	0	180	0	0	0	180	130700	0
401	map0024	未知之境	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4211	250.1	0.2	249.9	45	250.1	0.2	249.9	45	140100	0
402	map0020	坠魔谷	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4218	263.7848	293.2793	159.4751	270	254.5827	292.8	161.3977	-90	140200	0
403	map0021	坠魔谷	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4218	327.6829	292.7434	187.4611	270	325.5233	292.7303	187.2213	270	140300	0
404	map0022	坠魔谷	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4218	377.2423	292.6937	108.2426	-20	373	300	120	-16	140400	0
405	map0027	古修遗迹	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4223	427.8356	306.2356	325.7352	225	426.0753	306.9646	322.7362	270	140500	0
406	map0023	心魔绝地	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4211	300	0	275	0	300	0	275	0	140600	0
407	map0044	古传送阵	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4236	132.4464	350.8043	56.09002	0	132.4464	350.8043	56.09002	0	160300	0
501	map0028	越宫	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	0	0	-10	231.1343	180	0	-10	231.1343	180	150100	0
502	map0029	越宫天牢	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4219	361.9696	29.99451	204.4371	270	370	30	205	-90	150200	0
503	map0030	水魔囚牢	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4232	382.4501	30.4	334.5189	180	382.5	30	355	180	150300	0
504	map0031	火魔囚牢	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4232	382	30.4	356	180	382.5	30	355	180	150400	0
505	map0032	血炼囚牢	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4232	110.3958	0.5	213.295	270	102.5795	0.942686	213.2372	-90	150500	0
506	map0041	损坏的黄枫谷	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4230	254.7882	108.103	324.0566	180	156.055	108.22	241.3755	0	150600	0
507	map0042	损坏的黄枫谷	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4230	254.7882	108.103	324.0566	180	156.055	108.22	241.3755	0	150700	0
601	map0033	太岳古峰	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4233	84.76231	100.5845	79.93583	90	84.76231	100.5845	79.93583	90	160100	0
602	map0034	太岳仙境	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4233	94.09375	100.0499	17.68265	7.54393	93.86891	100.1743	12.23468	0	160200	0
603	map0035	古传送阵	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4229	132.4464	350.8043	56.09002	0	132.4464	350.8043	56.09002	0	160300	0
604	map0036	混沌虚空	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4228	165.5243	0.75	147.3627	-90	165.5243	0.75	147.3627	-90	160400	0
1100	mapXL01	神识之海	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	0	0	0.25	0	0	0	0.25	0	0	-1	0
1101	FB0001	舞仙坪（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4102	50.56323	89.40064	23.15573	-7.9538	50.56323	89.40064	23.15573	-7.9538	-1	1
1102	FB0003	仙竹林（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	159.8026	19.73083	21.81039	90	159.8026	19.73083	21.81039	90	-1	1
1103	FB0004	修习之阵（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	1000	77.79476	20.83644	20.75091	-120	77.79476	20.83644	20.75091	-120	-1	1
1104	FB0002	太岳山脉（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4102	69.72032	230.2377	45.04417	100.3126	69.72032	230.2377	45.04417	100.3126	-1	1
1105	FB0007	血禁外层（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4213	286.5	80.53	45	-90	286.5	80.53	45	-90	-1	1
1106	FB0008	血禁内层（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4214	272.5013	41.07992	94.53722	120	272.5013	41.07992	94.53722	120	-1	1
1107	FB0009	血禁中心（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4215	377.1348	29.81777	324.6032	-90	377.1348	29.81777	324.6032	-90	-1	1
1108	FB0011	舞仙坪（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4102	155.6339	88.06023	70.91536	0	155.6339	88.06023	70.91536	0	-1	1
1109	FB0014	仙竹林（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4208	159.8157	20.04872	22.81294	80.29329	159.8157	20.04872	22.81294	80.29329	-1	1
1110	FB0015	修习之阵（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4207	77.79476	20.83644	20.75091	-120	77.79476	20.83644	20.75091	-120	-1	1
1111	FB0012	太岳山脉（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4209	69.72032	230.2377	45.04417	100.3126	69.72032	230.2377	45.04417	100.3126	-1	1
1112	FB0016	紫霞仙境（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4210	86.53252	100.4819	189.7866	58.27444	86.53252	100.4819	189.7866	58.27444	-1	1
1113	FB0017	颠倒五行阵（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4217	2.216186	0	-1.3617	90	2.216186	0	-1.3617	90	-1	1
1114	FB0018	真幻之境（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4217	-10.8422	23.12699	48.88592	90	-10.8422	23.12699	48.88592	90	-1	1
1115	FB0020	坠魔残道（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4218	254.5827	292.8	161.3977	-90	254.5827	292.8	161.3977	-90	-1	1
1116	FB0021	坠魔古殿（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4218	325.5233	292.7303	187.2213	270	325.5233	292.7303	187.2213	270	-1	1
1117	FB0022	坠魔古道（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4218	373	300	120	-16	373	300	120	-16	-1	1
1118	FB0027	魔焰渊（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4223	426.0753	306.9646	322.7362	270	426.0753	306.9646	322.7362	270	-1	1
1119	FB0029	越宫（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4219	370	30	205	-90	370	30	205	-90	-1	1
1120	FB0030	火神殿（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4220	382.5	30	355	180	382.5	30	355	180	-1	1
1121	FB0031	水魔殿（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4220	382.5	30	355	180	382.5	30	355	180	-1	1
1122	FB0033	太岳南（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4221	84.76231	100.5845	79.93583	90	84.76231	100.5845	79.93583	90	-1	1
1123	FB0034	太岳西（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4221	93.86891	100.1743	12.23468	0	93.86891	100.1743	12.23468	0	-1	1
1124	FB0035	玄阴矿脉（梦境）	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	4221	132.4464	350.8043	56.09002	0	132.4464	350.8043	56.09002	0	-1	1
2001	xuanchuan0007	血禁试炼外层	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	0	286.5	80.53	45	-90	286.5	80.53	45	-90	120200	1
2002	xuanchuan0008	血禁试炼内层	EZGUI/Main/AlphaTrans	EZGUI/Main/AlphaTrans	0	223.128	60.842	326.116	178.7599	223.128	60.842	326.116	178.7599	120300	1
